기업명,연도,predicted_top30,predicted_probability,y,일치여부
(주)토마스엔지니어링,2023,0,0.1246961530641733,0.0,1
(주)트리엔,2023,0,0.3960840340176174,0.0,1
(주)티에스,2023,0,0.1110990167881865,0.0,1
(주)티에스시,2023,0,0.2937241096440554,0.0,1
(주)티에스코퍼레이션,2023,0,0.2338378735175476,0.0,1
(주)티엠씨,2023,0,0.172897514596703,0.0,1
(주)티티에스,2023,0,0.2624507029579395,0.0,1
(주)풍산디에이케이,2023,1,0.5120727784051932,0.0,0
(주)풍산시스템,2023,0,0.2415220143417406,1.0,0
(주)플라스텍,2023,0,0.3125349345522257,0.0,1
(주)피앤엠,2023,1,0.4017276912174388,1.0,1
(주)피엔피,2023,0,0.2788986164917518,1.0,0
(주)피제이피테크,2023,0,0.278724442688365,0.0,1
(주)피토,2023,1,0.6369471814304559,1.0,1
(주)한도금속,2023,0,0.08508026206541,0.0,1
(주)한일하이테크,2023,0,0.2068441250115427,1.0,0
(주)현명개발,2023,1,0.5668429230257789,1.0,1
(주)화인세라텍,2023,1,0.4277353572613305,1.0,1
앨엔에이치테크,2023,0,0.1762247564266432,0.0,1
㈜나인테크,2023,0,0.3591035222120581,1.0,0
㈜베이스,2023,0,0.3284621927070514,0.0,1
㈜선재하이테크,2023,0,0.3638342144036797,0.0,1
㈜씨엔티솔루션,2023,1,0.4074398308170923,1.0,1
㈜에버켐텍,2023,0,0.1454690771410252,0.0,1
㈜에이프로,2023,1,0.5358218077339288,0.0,0
㈜엠케이켐앤텍,2023,0,0.2468344769802811,0.0,1
㈜이코니,2023,1,0.7082333398030422,0.0,0
㈜코렌스알티엑스,2023,0,0.375725438244523,0.0,1
가온솔루션 주식회사,2023,0,0.1678501179260515,0.0,1
네오마(주),2023,0,0.140337470113351,0.0,1
네이션스,2023,0,0.0824016686309845,0.0,1
네패스 야하드,2023,1,0.4852534227064304,0.0,0
넥스트젠,2023,0,0.0930194429633529,1.0,0
넥스플렉스㈜,2023,1,0.421299192523508,0.0,0
대산지오텍 주식회사,2023,1,0.4373103713815906,0.0,0
대운테크,2023,0,0.2040062913251393,0.0,1
드림메카텍,2023,1,0.5465127459176908,1.0,1
디에스이테크,2023,0,0.1201354157003929,0.0,1
디에이치,2023,0,0.1299444970813794,1.0,0
디에이치테크,2023,0,0.2179892464233446,0.0,1
레이트론(주),2023,0,0.3303727235786389,1.0,0
리드엔지니어링,2023,0,0.1637137435109994,0.0,1
멜콘(주),2023,0,0.2721689408895705,0.0,1
미래첨단소재 주식회사,2023,0,0.3165153541089031,0.0,1
볼트크리에이션,2023,1,0.6197320991759077,1.0,1
부국산업 주식회사,2023,0,0.1849232285776619,0.0,1
브이에이디인스트루먼트,2023,0,0.3663100778510481,1.0,0
비앤에스(주),2023,1,0.5394466069253812,1.0,1
비에스티(주),2023,0,0.0930194429633529,1.0,0
비케이엠주식회사,2023,1,0.6271292925362195,0.0,0
비케이테크,2023,0,0.1215051639032127,0.0,1
삼화기업,2023,0,0.3862198948842184,0.0,1
상구정공(주),2023,0,0.2566006003251567,0.0,1
성림첨단산업㈜,2023,1,0.4188091441472139,0.0,0
