기업명,연도,bsnsr_reg_no,crno,dart_corp_code,sectors,field,매출액,영업이익,당기순이익,자산,부채,자본,연구개발비,CAPEX,유형자산_당기,유형자산_전기,유형자산_증감,종업원_합계
주식회사 에스이에이,2021,317-81-16582,1.10E+12,1210598,반도체,장비,"18,504,000,000","274,660,963","384,137,775","39,423,162,314","27,672,672,390","11,750,489,924","901,182,330",,"9,258,984,571","7,788,639,535","1,470,345,036",93
주식회사 에스이에이,2022,317-81-16582,1.10E+12,1210598,반도체,장비,"49,812,000,000","3,116,532,894","1,681,219,375","47,982,889,153","34,551,179,854","13,431,709,299","1,122,850,615",,"10,860,793,280","9,258,984,571","1,601,808,709",114
주식회사 에스이에이,2023,317-81-16582,1.10E+12,1210598,반도체,장비,"65,635,360,273","1,034,037,288","909,509,103","77,928,141,006","63,586,922,604","14,341,218,402","2,478,406,310",,"10,825,269,345","10,860,793,280","35,523,935",122
주식회사 에스이에이,2024,317-81-16582,1.10E+12,1210598,반도체,장비,"98,409,000,000","6,266,499,181","909,509,103","111,000,000,000","50,689,280,363","59,979,952,583","1,427,756,017",,"12,257,335,479","10,825,269,345","1,432,066,134",122
주식회사 에이블,2019,717-81-02838,1.10E+12,1594348,반도체,부품,,,,,,,,,,,,
주식회사 에이블,2020,717-81-02838,1.10E+12,1594348,반도체,부품,,,,,,,,,,,,
주식회사 에이블,2021,717-81-02838,1.10E+12,1594348,반도체,부품,"480,000,000","-48,088,774","-256,537,765","12,272,504,012","12,769,825,701","-497,000,000",,,"11,826,338,997","11,866,696,422","40,357,425",3
주식회사 에이블,2022,717-81-02838,1.10E+12,1594348,반도체,부품,"489,000,000","56,685,781","-136,735,124","12,135,793,950","12,769,850,763","-634,000,000",,,"11,695,861,861","11,826,338,997","130,477,136",2
주식회사 에이블,2023,717-81-02838,1.10E+12,1594348,반도체,부품,"492,000,000","156,431,170","-137,399,129","12,024,898,866","12,796,354,808","-771,000,000",,,"11,578,388,652","11,695,861,861","117,473,209",1
주식회사 에이블,2024,717-81-02838,1.10E+12,1594348,반도체,부품,"572,000,000","242,683,904","-185,330,344","11,941,461,018","12,898,247,304","-957,000,000",,,"11,469,849,135","11,578,388,652","108,539,517",1
주식회사 에이씨티,2019,882-81-01564,1.10E+12,1071698,반도체,장비,"277,000,000,000","-492,186,436","-397,937,037","1,457,800,346","1,061,947,291","395,853,055",,,"44,416,443","85,818,086","41,401,643",3
주식회사 에이씨티,2020,882-81-01564,1.10E+12,1071698,반도체,장비,"277,000,000,000","-492,186,436","-397,937,037","1,457,800,346","1,061,947,291","395,853,055",,,"44,416,443","85,818,086","41,401,643",3
주식회사 에이씨티,2021,882-81-01564,1.10E+12,1071698,반도체,장비,,,,,,,,,,,,
주식회사 에이씨티,2022,882-81-01564,1.10E+12,1071698,반도체,장비,,,,,,,,,,,,
주식회사 에이씨티,2023,882-81-01564,1.10E+12,1071698,반도체,장비,,,,,,,,,,,,
주식회사 에이씨티,2024,882-81-01564,1.10E+12,1071698,반도체,장비,,,,,,,,,,,,
주식회사 에이아이이,2019,118-87-00879,1.10E+12,1844100,디스플레이,장비,,,,,,,,,,,,
주식회사 에이아이이,2020,118-87-00879,1.10E+12,1844100,디스플레이,장비,,,,,,,,,,,,
주식회사 에이아이이,2021,118-87-00879,1.10E+12,1844100,디스플레이,장비,,,,,,,,,,,,
주식회사 에이아이이,2022,118-87-00879,1.10E+12,1844100,디스플레이,장비,,,,,,,,,,,,
주식회사 에이아이이,2023,118-87-00879,1.10E+12,1844100,디스플레이,장비,"13,882,982,829","1,746,045,177","1,513,863,745","16,217,280,031","12,157,138,193","4,060,141,838","201,370,549",,"10,946,544,068","21,225,625,333","-10,279,081,265",
주식회사 에이아이이,2024,118-87-00879,1.10E+12,1844100,디스플레이,장비,"10,282,000,000","963,998,463","613,131,307","16,534,515,435","11,861,242,290","4,673,273,145","743,871,019",,"10,918,935,914","10,946,544,068","27,608,154",37
주식회사 에이치브이엠,2019,140-81-62109,1.36E+12,1011368,디스플레이,소재,,,,,,,,,,,,
주식회사 에이치브이엠,2020,140-81-62109,1.36E+12,1011368,디스플레이,소재,,,,,,,,,,,,
주식회사 에이치브이엠,2021,140-81-62109,1.36E+12,1011368,디스플레이,소재,,,,,,,,,,,,
주식회사 에이치브이엠,2022,140-81-62109,1.36E+12,1011368,디스플레이,소재,"35,487,760,243","1,196,792,184","-426,109,448","69,060,898,889","62,435,140,367","6,625,758,522",,"5,099,430,003",,,,
주식회사 에이치브이엠,2023,140-81-62109,1.36E+12,1011368,디스플레이,소재,"41,457,404,690","3,728,071,521","-6,055,727,547","85,200,792,905","54,819,516,888","30,381,276,017","1,472,867,000","5,532,520,435",,,,
주식회사 에이치브이엠,2024,140-81-62109,1.36E+12,1011368,디스플레이,소재,"45,140,439,641","-6,789,016,613","-8,388,199,445","120,000,000,000","53,501,818,738","66,111,681,371","1,053,921,000","15,303,131,430",,,,
주식회사 에이프로세미콘,2019,891-88-01548,2.00E+12,1769234,반도체,부품,,,,,,,,,,,,
주식회사 에이프로세미콘,2020,891-88-01548,2.00E+12,1769234,반도체,부품,,,,,,,,,,,,
주식회사 에이프로세미콘,2021,891-88-01548,2.00E+12,1769234,반도체,부품,,,,,,,,,,,,
주식회사 에이프로세미콘,2022,891-88-01548,2.00E+12,1769234,반도체,부품,,,,,,,,,,,,
주식회사 에이프로세미콘,2023,891-88-01548,2.00E+12,1769234,반도체,부품,"26,000,000","-3,359,270,245","-2,803,851,108","20,463,247,674","21,091,669,789","-628,000,000","2,564,238",,"15,629,835,876","20,440,000","15,609,395,876",20
주식회사 에이프로세미콘,2024,891-88-01548,2.00E+12,1769234,반도체,부품,"31,350,000","-5,411,157,635","-4,518,387,381","75,105,586,426","83,737,647,334","-8,632,000,000","3,641,928",,"41,636,068,892","15,629,835,876","26,006,233,016",20
주식회사 에코프로비엠,2019,638-86-00376,1.50E+12,1160363,이차전지,소재,"616,000,000,000","37,077,549,715","34,481,003,746","650,000,000,000","280,000,000,000","370,000,000,000","13,032,221,000","182,000,000,000",,,,860
주식회사 에코프로비엠,2020,638-86-00376,1.50E+12,1160363,이차전지,소재,"855,000,000,000","54,769,281,487","46,658,311,822","799,000,000,000","332,000,000,000","467,000,000,000","26,241,386,000","98,391,752,695",,"377,000,000,000","377,000,000,000",930
주식회사 에코프로비엠,2021,638-86-00376,1.50E+12,1160363,이차전지,소재,"1,490,000,000,000","115,000,000,000","97,789,788,764","1,430,000,000,000","830,000,000,000","596,000,000,000","32,750,188,000","236,000,000,000","639,000,000,000","436,000,000,000","203,000,000,000",1151
주식회사 에코프로비엠,2022,638-86-00376,1.50E+12,1160363,이차전지,소재,"5,360,000,000,000","381,000,000,000","273,000,000,000","3,370,000,000,000","1,890,000,000,000","1,490,000,000,000","50,918,379,000","455,000,000,000",,"639,000,000,000","639,000,000,000",1314
주식회사 에코프로비엠,2023,638-86-00376,1.50E+12,1160363,이차전지,소재,"6,900,000,000,000","156,000,000,000","54,685,871,623","4,360,000,000,000","2,760,000,000,000","1,600,000,000,000","48,840,615,000","756,000,000,000",,,,1408
