기업명,crno,dart_corp_code
주식회사 아이큐랩,1358110342790,01839418
주식회사 에너지테크솔루션,1101116624179,01754870
주식회사 에스비티엘첨단소재,1348110425456,01424401
주식회사 에스에프이,1101113058024,01077249
주식회사 에스엘파워,1501110214423,01595754
주식회사 에스이에이,1101112377061,01210598
주식회사 에이블,1101110698914,01594348
주식회사 에이씨티,1101110526404,01071698
주식회사 에이아이이,1101117115383,01844100
주식회사 에이에스티,1101111567738,00569886
주식회사 에이엘디,1101111570020,00770473
주식회사 에이엠텍,1101111877799,00568799
주식회사 에이이티,1101114938077,00625049
주식회사 에이치브이엠,1355110238812,01011368
주식회사 에이프로세미콘,2001110605481,01769234
주식회사 에코프로비엠,1501110219184,01160363
주식회사 엘에스테크,1101113303429,01752429
주식회사 유니밴스,1101113023077,01134960
주식회사 유시스템,1101111509962,00319069
주식회사 이에스티,1101110369557,00817932
주식회사 일산,1101110029169,00500102
주식회사 제스코,1101111409790,01217740
주식회사 제이에스에스,1101110925060,01571222
주식회사 제이이티,1101111817654,01823329
주식회사 제타,1101110939639,01580530
주식회사 조은테크,1101110889589,01097687
주식회사 지앤티,1101111635783,00255798
주식회사 창하이앤지,1313110172646,01760941
주식회사 천진,1101111291890,01641187
주식회사 코비스테크놀로지,1101112885949,01901089
주식회사 코어시스템,1101112754045,01728945
주식회사 코윈,1101111836927,00284921
주식회사 쿠온솔루션,2849110108645,01625994
주식회사 트임,1101110892938,01583111
주식회사 티오피에스,1355110255337,00913254
주식회사 파워테크,1101110769319,00858878
주식회사 파인솔루션,1101116459237,01387720
주식회사 포시스,1101110608492,01022692
주식회사 프리테크,1101110883086,00259396
주식회사 피에스디이,1211110217878,01550733
주식회사 피엔티,1101111015886,00496191
주식회사 피엠씨,1101110265383,00234670
주식회사 한솔케미칼,1101110270895,00140955
주식회사 한울반도체,1101117032545,01359815
주식회사 한탑,1101111731523,01705306
주식회사 한텍,1101110919055,00467339
주식회사 한텍시스템,1349110035120,01741353
주식회사넥스젠,1101111182726,00375560
주식회사대일테크,1101110913536,01031247
주식회사디씨엔,1101111945554,01366408
주식회사미코세라믹스,1346110103577,01474734
주식회사삼현,1101110226971,01069888
주식회사아테코,1101111120346,01014772
주식회사엑스엘,1101111452111,00323886
주식회사유우일렉트로닉스,1101113478107,01574672
주식회사이에스이,1101110006422,01468089
주식회사일만,1101111543481,01078734
주식회사제이에스,929720929726,00246189
주식회사케이에스피,1101111252214,00328191
주식회사효광,1101111066368,01160424
지엔디 주식회사,1101112011784,01782314
지원플러스,1314110307936,01134085
진영테크,1101116716611,01176425
창산업주식회사,1101110026115,00303712
창신테크,1101111560443,00421850
천보,1101110186216,00655350
케이에스엠,1101111636997,01019689
케이에스엠컴포넌트,1244110066458,00619224
케이에스티주식회사,1101111247356,00528038
케이엔씨,1101110411233,00145561
코리아 이엔티,,01863974
코스텍시스템(주),1311110048164,00610861
큐라텍,1311110629154,00938457
크라이오에이치앤아이,1313110240758,01738766
크레스트,1101111229891,00509635
탑이엔지,1101114429357,00571003
트리노테크놀로지,1341110169397,00855181
티에스테크놀로지(주),1101111364142,00371403
티에스텍,1101113164095,00571784
티엔티,1101110340979,00257574
티이엠씨주식회사,1101114809963,01301252
파워큐브세미 (주),1211110247396,01776410
팸텍주식회사,1101112880410,01146220
풍원정밀(주),1314110342544,00417167
플라텍(주),1101110814247,01755231
플렉스 주식회사,1101110558001,01642539
피닉슨컨트롤스㈜,1313110134745,01353866
피에스케이 주식회사,1101110418718,01365825
피에스케이홀딩스(주),1101110418718,00283560
하나레이저테크(주),1615110111222,01074084
하나머티리얼즈(주),1101140228616,00660750
하비스트,1101112507303,00684644
하이테크,1101110254310,00196079
한국티엠,1201110328197,01044278
한미반도체(주),1101111633357,00161383
화성산업,1101110135958,01354892
