기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,영업이익,당기순이익,매출액
㈜자람테크놀로지,01365038,1101111864829.0,2024,20000127,261,,0,,,63,63,0,,,,,,,
㈜지아이텍,00663784,1101112222505.0,2024,20010201,2225,,0,,,0,0,0,,,,,,,
㈜코렌스알티엑스,01728866,1601110259089.0,2024,20191101,29221,,0,,,0,0,0,,,,,,,
㈜파크시스템스,00244747,1101111397648.0,2024,19970407,27219,,0,,,361,349,12,274315476326,187909793142,86405683184,28174222031,38529871391,42803661818,175059849427
㈜피엠티,00654175,1101110928147.0,2024,20040512,27212,,0,,,179,179,0,,,,,,,
가온솔루션 주식회사,01310135,1211110380302.0,2024,20100108,29272,,0,,,0,0,0,,,,,,,
글로벤스(주),01917044,1648110049656.0,2024,20090701,29271,,0,,,0,0,0,,,,,,,
기가비스주식회사,00765569,1345110078029.0,2024,20040218,292,,0,,,135,134,1,,,,,,,
나래나노텍,00362122,1345110017746.0,2024,19951211,292,,0,,,202,202,0,173431902910,76445170865,96986732045,313394285,-22108083244,-17141317761,40425966058
네오마(주),01139530,1101112779431.0,2024,20030701,4659,,0,,,0,0,0,,,,,,,
네이션스,01070033,1101112463894.0,2024,20140401,2629,,0,,,0,0,0,,,,,,,
네패스 야하드,00880354,,2024,20100401,28202,,0,,,0,0,0,,,,,,,
넥스원,00428880,1101111516933.0,2024,20021031,46800,,0,,,0,0,0,,,,,,,
넥스트젠,01551671,1101112309791.0,2024,20180821,70113,,0,,,0,0,0,,,,,,,
넥스플렉스㈜,01385111,1101116827658.0,2024,20180730,26221,,0,,,0,0,0,,,,,,,
노바,00254179,1101110381858.0,2024,19780304,64122,,0,,,0,0,0,,,,,,,
대산지오텍 주식회사,01356164,1348110236655.0,2024,20120214,29272,,0,,,0,0,0,,,,,,,
대운테크,01073854,1211110137464.0,2024,20130423,2221,,0,,,0,0,0,,,,,,,
대주전자재료(주),00177816,1301110007616.0,2024,19810706,2629,,0,,,728,728,0,622950058762,230239136477,392710922285,100771105317,29353571296,36394010154,219316249770
더블유씨피 주식회사,01291317,1101116126430.0,2024,20161026,28202,,0,1542554803946,1068883549215,1012,1011,0,1810190530958,968642145051,841548385907,473671254731,-70938111834,-72205558117,322073352106
드림메카텍,01157174,1348110251299.0,2024,20120827,25929,,0,,,0,0,0,,,,,,,
디에스이테크,01682670,1313110146691.0,2024,20150301,29271,,0,,,0,0,0,,,,,,,
디에이치,00678999,1101110085541.0,2024,20030226,30320,,0,,,0,0,0,,,,,,,
디에이치테크,01023187,1101111951676.0,2024,19990219,29172,,0,,,0,0,0,,,,,,,
램테크놀러지㈜,00654272,1345110053211.0,2024,20011025,20119,,0,,,94,94,0,104412607248,47994453035,56418154213,9962580917,-1652887365,-2556801309,44501337692
레이저쎌주식회사,01573381,1311110405091.0,2024,20150406,29271,,0,,,63,63,0,45490838442,28464357483,17026480959,9206273684,-9208984969,-8496805459,4015870540
