기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,자본,부채,CAPEX,매출액,영업이익,당기순이익
(주)티티에스,01005507,1101111222043.0,2023,20010420,291,,0,,,0,0,0,,,,,,,
(주)파크시스템,01657054,1101111397648.0,2023,20000516,29271,,0,,,0,0,0,,,,,,,
(주)풍산디에이케이,01497887,1311110300895.0,2023,20120102,28202,,0,,,0,0,0,,,,,,,
(주)풍산시스템,01014082,1301110059154.0,2023,20000401,30,,0,,,0,0,0,,,,,,,
(주)프로텍,00325112,1101110589311.0,2023,19970901,29271,,0,,,285,262,23,362325689771,314401685932,47924003839,7922698893,156071199156,17432961864,17091144488
(주)플라스텍,01766246,1101112587751.0,2023,20020813,46800,,0,,,0,0,0,,,,,,,
(주)피앤엠,01384918,1101112347048.0,2023,20081112,29120,,0,,,0,0,0,,,,,,,
(주)피엔피,01012853,1101110363575.0,2023,20120727,29271,,0,,,0,0,0,,,,,,,
(주)피제이피테크,01369487,1358110106625.0,2023,20040727,261,,0,,,0,0,0,,,,,,,
(주)피토,00976101,1101112028656.0,2023,20031202,29271,,0,,,0,0,0,,,,,,,
(주)필옵틱스,00938721,1351110088083.0,2023,20080205,2927,,0,,,289,285,4,450911369941,231906436271,219004933670,28797983153,300001066109,10265296884,-8119957048
(주)하이원텍,01287970,1314110250888.0,2023,20111021,34019,,0,,,0,0,0,,,,,,,
(주)한도금속,01383991,1355110200100.0,2023,20090422,25924,,0,,,0,0,0,,,,,,,
(주)한올테크,00382597,1101110993405.0,2023,19931230,58221,,0,,,0,0,0,,,,,,,
(주)한일하이테크,00909455,1101110695382.0,2023,19980924,2224,,0,,,0,0,0,,,,,,,
(주)현명,01151338,1101111731309.0,2023,20150821,68112,,0,,,0,0,0,,,,,,,
(주)화인세라텍,01656338,1348110571184.0,2023,20200721,26299,,0,,,0,0,0,,,,,,,
H테크,01478332,1647110046109.0,2023,20190816,22241,,0,,,0,0,0,,,,,,,
㈜나노신소재,00439965,1601110094162.0,2023,20000315,2049,,0,,,275,240,35,430041532929,239501924329,190539608600,38954325907,83170197743,11892080207,16774215500
㈜나인테크,01302987,1101112052382.0,2023,20170515,26223,,0,,,0,0,0,,,,,,,
㈜넥스틴,01080252,1344110044981.0,2023,20100623,29271,,0,,,119,119,0,142961730739,127009095062,15952635677,16620048050,87930571023,36165536410,30933600268
㈜디엔에프,00569691,1101111548671.0,2023,20010105,2049,,0,,,282,281,1,,,,,,,
㈜레이크머티리얼즈,00861854,1101116525723.0,2023,20100513,2049,,0,,,0,0,0,,,,,,,
㈜베이스,01008081,1101110358443.0,2023,20110801,71531,,0,,,0,0,0,,,,,,,
㈜선재하이테크,00342182,1801110323955.0,2023,20000522,2812,,0,,,0,0,0,,,,,,,
㈜쎄노텍,00915784,1101115733509.0,2023,19990514,23993,,0,,,0,0,0,,,,,,,
㈜씨엔티솔루션,01552555,1314110266299.0,2023,20111014,22299,,0,,,0,0,0,,,,,,,
㈜아이에스시,01318678,1101113978834.0,2023,20180313,64999,,0,,,0,0,0,,,,,,,
㈜아이윈,00365624,1101111715527.0,2023,19990206,303,,0,,,65,65,0,139684241933,44766775254,94917466679,1562108551,108275071416,6353994073,-35265657306
㈜야스,00875307,1101111080954.0,2023,20020411,29272,,0,,,236,228,8,203450951682,155175900745,48275050937,4414287799,41987801728,-5437384165,-4047475709
㈜에버켐텍,01370252,1348110192021.0,2023,20100407,20499,,0,,,0,0,0,,,,,,,
㈜에이프로,01292486,1101110036396.0,2023,20100924,2629,,0,,,0,0,0,,,,,,,
㈜엠케이켐앤텍,00448811,1101111928021.0,2023,20000401,2049,,0,,,0,0,0,,,,,,,
㈜엠티아이,00298739,1101111240920.0,2023,19960208,2642,,0,,,0,0,0,,,,,,,
㈜오로스테크놀로지,01016479,1311110104403.0,2023,20031021,292,,0,,,188,188,0,74212053290,62366907479,11845145811,4019591256,45529498555,2369674252,3378588226
㈜오이솔루션,00571483,2001110180384.0,2023,20030807,26410,,0,,,312,312,0,151968793274,111422974745,40545818529,1767884561,46002760622,-31080650276,-33817287395
㈜와이엠텍,01288331,1201110492223.0,2023,20090401,29,,0,,,0,0,0,,,,,,,
㈜웨이비스,01270749,1348110407800.0,2023,20170502,261,,0,,,0,0,0,,,,,,,
㈜이코니,00806051,1101117081287.0,2023,20030318,25924,,0,,,0,0,0,,,,,,,
㈜자람테크놀로지,01365038,1101111864829.0,2023,20000127,261,,0,,,58,58,0,,,,,,,
㈜지아이텍,00663784,1101112222505.0,2023,20010201,2225,,0,,,0,0,0,,,,,,,
㈜코렌스알티엑스,01728866,1601110259089.0,2023,20191101,29221,,0,,,0,0,0,,,,,,,
㈜파크시스템스,00244747,1101111397648.0,2023,19970407,27219,,0,,,322,320,2,201672528008,143484613955,58187914053,12225630613,144806376321,27560237095,24562474113
㈜피엠티,00654175,1101110928147.0,2023,20040512,27212,,0,,,185,185,0,,,,,,,
가온솔루션 주식회사,01310135,1211110380302.0,2023,20100108,29272,,0,,,0,0,0,,,,,,,
글로벤스(주),01917044,1648110049656.0,2023,20090701,29271,,0,,,0,0,0,,,,,,,
기가비스주식회사,00765569,1345110078029.0,2023,20040218,292,,0,,,121,121,0,,,,,,,
나래나노텍,00362122,1345110017746.0,2023,19951211,292,,0,,,258,254,4,173053090583,93554411953,79498678630,2670402885,52925517541,-14991082577,-13283478372
네오마(주),01139530,1101112779431.0,2023,20030701,4659,,0,,,0,0,0,,,,,,,
네이션스,01070033,1101112463894.0,2023,20140401,2629,,0,,,0,0,0,,,,,,,
네패스 야하드,00880354,,2023,20100401,28202,,0,,,0,0,0,,,,,,,
넥스원,00428880,1101111516933.0,2023,20021031,46800,,0,,,0,0,0,,,,,,,
넥스트젠,01551671,1101112309791.0,2023,20180821,70113,,0,,,0,0,0,,,,,,,
넥스플렉스㈜,01385111,1101116827658.0,2023,20180730,26221,,0,,,0,0,0,,,,,,,
노바,00254179,1101110381858.0,2023,19780304,64122,,0,,,0,0,0,,,,,,,
대산지오텍 주식회사,01356164,1348110236655.0,2023,20120214,29272,,0,,,0,0,0,,,,,,,
대운테크,01073854,1211110137464.0,2023,20130423,2221,,0,,,0,0,0,,,,,,,
대주전자재료(주),00177816,1301110007616.0,2023,19810706,2629,,0,,,668,668,0,413411034481,156880996885,256530037596,105157725263,184988881822,6208941102,628120911
더블유씨피 주식회사,01291317,1101116126430.0,2023,20161026,28202,,0,1068883549215,583157155150,1102,1102,0,1358510063106,1000408000524,358102062582,485726394065,,46391318239,53621155391
드림메카텍,01157174,1348110251299.0,2023,20120827,25929,,0,,,0,0,0,,,,,,,
디에스이테크,01682670,1313110146691.0,2023,20150301,29271,,0,,,0,0,0,,,,,,,
디에이치,00678999,1101110085541.0,2023,20030226,30320,,0,,,0,0,0,,,,,,,
디에이치테크,01023187,1101111951676.0,2023,19990219,29172,,0,,,0,0,0,,,,,,,
램테크놀러지㈜,00654272,1345110053211.0,2023,20011025,20119,,0,,,99,99,0,92398700468,48588203889,43810496579,12102453584,42975926481,-2952414219,-2869461764
레이저쎌주식회사,01573381,1311110405091.0,2023,20150406,29271,,0,,,53,53,0,40079781998,36712517354,3367264644,1149978361,6026961356,-5779730382,-182193510
레이트론(주),00666912,1341110444765.0,2023,20001001,2611,,0,,,0,0,0,,,,,,,
루츠,01794230,1101112802547.0,2023,20230721,46413,,0,,,0,0,0,,,,,,,
리드엔지니어링,01845066,1501110100896.0,2023,20061101,29271,,0,,,0,0,0,,,,,,,
멜콘(주),01028933,1311110107671.0,2023,20031216,29,,0,,,0,0,0,,,,,,,
모아,00689746,1101110250706.0,2023,20050909,68,,0,,,0,0,0,,,,,,,
미래첨단소재 주식회사,01651908,1501110270186.0,2023,20161115,23993,,0,,,0,0,0,,,,,,,
바테크(주),00846998,1101110608244.0,2023,20050316,46510,,0,,,0,0,0,,,,,,,
볼트크리에이션,01588356,1101115745380.0,2023,20150801,26129,,0,,,0,0,0,,,,,,,
부국산업 주식회사,00123754,1152110036629.0,2023,19860401,3831,,0,,,0,0,0,,,,,,,
브이에이디인스트루먼트,01527230,1311110397222.0,2023,20150112,29271,,0,,,0,0,0,,,,,,,
비나텍(주),00563518,1341110067418.0,2023,19990726,282,,0,,,163,138,25,130012544249,64263635695,65748908554,12446893989,54964094324,3036206471,1976945237
비씨엔씨(주),01301623,1101112767064.0,2023,20030619,261,,0,,,261,256,0,134417438297,74774455600,59642982697,21184879567,65312042853,-41858607,1273170250
비앤에스(주),01456835,1101110540397.0,2023,20130327,29280,,0,,,0,0,0,,,,,,,
