기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)에스에이엠,00416432,1101110707674.0,2019,20000515,68112,,0,,,0,0,0,,,,,,,
(주)에스엔에프,00968847,1101110506216.0,2019,20060501,3399,,0,,,0,0,0,,,,,,,
(주)에스엠랩,01475274,2301110296432.0,2019,20180706,28202,,0,,,0,0,0,,,,,,,
(주)에스엠아이,00511959,1101110651904.0,2019,19890928,46741,,0,,,0,0,0,,,,,,,
(주)에스엠티,00960119,1101110838461.0,2019,20030701,4791,,0,,,0,0,0,,,,,,,
(주)에스와이텍,01412770,1101113267500.0,2019,20181204,29299,,0,,,0,0,0,,,,,,,
(주)에스이아이,00281739,1101111743990.0,2019,19990729,64201,,0,,,0,0,0,,,,,,,
(주)에스피반도체통신,00263168,1211110066499.0,2019,19990330,2612,,0,,,378,357,21,,,,,,,
(주)에이씨에스,00489924,1101111583536.0,2019,20031213,30,,0,,,0,0,0,,,,,,,
(주)에이알케이,01382965,1101112046369.0,2019,20170901,71531,,0,,,0,0,0,,,,,,,
(주)에이앤아이,00611310,1101111183021.0,2019,20000131,29271,,0,,,0,0,0,,,,,,,
(주)에이엠에스티,00552628,1101111604043.0,2019,19981105,2612,,0,,,0,0,0,,,,,,,
(주)에이치앤이루자,00975546,1601110225361.0,2019,20070525,29272,,0,,,0,0,0,,,,,,,
(주)에이치에스테크놀로지,01279838,1101110162802.0,2019,20110610,261,,0,,,0,0,0,,,,,,,
(주)에이티에스,01402287,1101110514441.0,2019,20161117,28202,,0,,,0,0,0,,,,,,,
(주)에코앤드림,00619640,1101113085598.0,2019,20040916,204,,0,,,61,57,0,,,,,,,
(주)에코파워팩,01860755,1101116241725.0,2019,20161129,28202,,0,,,0,0,0,,,,,,,
(주)에프에스티,00223434,1101110546006.0,2019,19870929,2629,,0,,,525,515,10,181134486476,67980117390,113154369086,29074382730,125729653931,18873234253,18278889592
(주)에프테크놀로지,00584274,1101111957195.0,2019,20040726,26211,,0,,,0,0,0,,,,,,,
(주)엑시콘,00611736,1311110058402.0,2019,20010308,29271,,0,,,144,144,0,103959649859,29071238119,74888411740,2631880030,38230244203,-5194103446,-5313676622
(주)엔씨켐,00863533,1101114636639.0,2019,20080306,20499,,0,,,0,0,0,,,,,,,
(주)엔지온,00962269,1244110089476.0,2019,20030801,2612,,0,,,0,0,0,,,,,,,
(주)엔켐,01011526,1101111722803.0,2019,20120216,20119,,0,,,0,0,0,,,,,,,
(주)엔티에스,01461262,1101110800254.0,2019,20120327,72129,,0,,,0,0,0,,,,,,,
(주)엘앤에프,00398701,1101110665608.0,2019,20000727,28202,,0,,,576,576,0,416201278724,284380746162,131820532562,85581102872,313264234672,-7662576802,-8809230051
(주)엘에이티,01361245,1201110376633.0,2019,20170919,29272,,0,,,60,60,0,,,,,,,
(주)엘케이엔지니어링,01284441,1311110326700.0,2019,20110303,29271,,0,,,0,0,0,,,,,,,
(주)엘콤,01208973,1101111172793.0,2019,20070201,28202,,0,,,0,0,0,,,,,,,
(주)엠에스텍,01156661,1101111507560.0,2019,19991101,27214,,0,,,0,0,0,,,,,,,
(주)엠엑스앤,01230219,1358110210848.0,2019,20120326,29271,,0,,,0,0,0,,,,,,,
